Hoell, Larsson et al: Supplementary Dataset 2;;;;;;;;;;
;;;;;;;;;;
Transcripts: All transcripts annotated to this gene in RefSeq;;;;;;;;;;
Gene size: Base pairs from 5'-most transcript start to 3'-most transcript end;;;;;;;;;;
CCs: Crosslinked clusters (binding sites) with >= 10 reads and 25% T-to-C changes;;;;;;;;;;
Features: Number of binding sites in introns|5'UTR|CDS|3'UTR|non-coding transcript|ambigous;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Gene;Transcripts;Gene size;FUS CCs;Features;EWSR1 CCs;Features;TAF15 CCs;Features;Mutant FUS CCs;Features
SMAD3;NM_005902,NM_001145104,NM_001145103,NM_001145102;129339;6;3|0|0|3|0|0;2;0|0|0|2|0|0;2;0|0|0|2|0|0;3;0|0|0|3|0|0
SMAD4;NM_005359;54829;6;2|0|0|4|0|0;7;1|0|0|6|0|0;2;0|0|0|2|0|0;4;0|0|1|3|0|0
SMAD5;NM_001001420,NM_001001419,NM_005903;49887;24;1|0|1|22|0|0;39;1|0|4|34|0|0;13;1|0|0|12|0|0;21;0|0|2|19|0|0
SMAD9;NM_001127217,NM_005905;75442;11;8|0|0|3|0|0;0;0|0|0|0|0|0;3;3|0|0|0|0|0;3;0|0|1|2|0|0
SMAP1;NM_001044305,NM_021940;194238;6;5|0|0|1|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;3;0|0|0|3|0|0
SMAP2;NM_022733,NM_001198979,NM_001198978,NM_001198980;49621;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SMARCA1;NM_139035,NM_003069;76983;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
SMARCA2;NM_003070,NM_139045;178282;5;5|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SMARCA4;NM_001128845,NM_001128844,NM_001128849,NM_001128847,NM_003072,NM_001128846,NM_001128848;101361;2;2|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0
SMARCA5;NM_003601;39952;4;3|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;3;0|0|1|2|0|0
SMARCAD1;NM_001128430,NM_001128429,NM_020159;83685;10;9|0|1|0|0|0;2;0|0|0|2|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SMARCAL1;NM_014140,NM_001127207;70638;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SMARCB1;NM_003073,NM_001007468;47556;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SMARCC1;NM_003074;196028;9;9|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0
SMARCC2;NM_001130420,NM_139067,NM_003075;27716;0;0|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SMARCD1;NM_003076,NM_139071;15512;3;0|0|2|1|0|0;2;0|0|2|0|0|0;1;0|0|1|0|0|0;2;0|0|1|1|0|0
SMARCD2;NM_001098426;10911;1;0|0|0|1|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0;3;0|0|1|2|0|0
SMARCE1;NM_003079;20124;3;1|0|0|2|0|0;1;1|0|0|0|0|0;1;0|0|0|1|0|0;2;0|0|0|2|0|0
SMC1A;NM_006306;48549;14;6|0|0|8|0|0;15;3|0|0|12|0|0;5;0|0|0|5|0|0;8;0|0|0|8|0|0
SMC2;NM_001042551,NM_006444,NM_001042550;47160;3;0|0|1|2|0|0;6;0|0|4|2|0|0;1;0|0|0|1|0|0;5;0|0|1|4|0|0
SMC3;NM_005445;36944;7;6|0|1|0|0|0;2;2|0|0|0|0|0;1;1|0|0|0|0|0;2;1|0|1|0|0|0
SMC4;NM_001002800,NM_005496;35312;16;11|0|4|1|0|0;21;12|0|6|3|0|0;4;3|0|0|1|0|0;9;2|0|4|3|0|0
SMC5;NM_015110;95912;7;5|0|1|1|0|0;4;2|0|2|0|0|0;0;0|0|0|0|0|0;3;0|0|1|2|0|0
SMC6;NM_024624,NM_001142286;90018;9;7|0|0|2|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0;3;0|0|2|1|0|0
SMCHD1;NM_015295;149130;8;8|0|0|0|0|0;7;1|0|5|1|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0
SMCR7L;NM_019008;15854;3;0|0|0|3|0|0;10;0|1|1|8|0|0;4;0|1|1|2|0|0;5;0|1|0|4|0|0
SMCR8;NM_144775;12777;1;0|0|0|1|0|0;3;0|0|1|2|0|0;1;0|0|0|1|0|0;1;0|0|1|0|0|0
SMEK1;NM_032560;52689;3;1|0|1|1|0|0;14;3|0|7|4|0|0;3;1|0|2|0|0|0;5;1|0|2|2|0|0
SMEK2;NM_020463,NM_001122964;69283;5;4|0|1|0|0|0;2;0|0|2|0|0|0;1;0|0|1|0|0|0;2;1|0|1|0|0|0
SMG1;NM_015092;121552;8;3|0|4|1|0|0;7;0|0|6|1|0|0;0;0|0|0|0|0|0;9;0|0|2|7|0|0
SMG5;NM_015327;33606;1;1|0|0|0|0|0;2;0|0|1|1|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
SMG6;NM_001170957,NM_017575;243937;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SMG7;NM_201569,NM_001174061,NM_173156,NM_201568;81823;5;3|0|1|0|0|1;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SMNDC1;NM_005871;11910;5;1|0|1|3|0|0;3;0|0|2|1|0|0;5;0|0|1|4|0|0;5;0|0|1|4|0|0
SMO;NM_005631;24673;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SMOC1;NM_022137,NM_001034852;152941;2;2|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0
SMPDL3A;NM_006714;20894;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0
SMS;NM_004595;54241;1;0|1|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SMU1;NM_018225;34865;1;1|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;6;2|0|2|2|0|0
SMUG1;NM_014311;7506;0;0|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
SMURF1;NM_020429,NM_181349;116660;9;9|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SMURF2;NM_022739;117652;5;4|0|0|1|0|0;3;0|0|1|2|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SMYD2;NM_020197;55913;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SMYD3;NM_022743,NM_001167740;758003;21;21|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNAP23;NM_130798,NM_003825;37422;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;4;0|0|0|4|0|0
SNAP25;NM_130811,NM_003081;88589;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNAP29;NM_004782;32210;0;0|0|0|0|0|0;2;0|0|0|2|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0
SNAP47;NM_053052;46236;1;0|0|0|1|0|0;2;1|0|0|1|0|0;1;0|0|0|1|0|0;2;0|0|0|2|0|0
SNAP91;NR_026669,NM_014841;156523;4;4|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNAPC1;NM_003082;34072;2;0|1|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0
SNAPC3;NM_001039697;38846;0;0|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNAPC4;NM_003086;22861;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNAPC5;NM_006049;7481;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0
SNAPIN;NM_012437;3182;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
SNCA;NM_001146054,NM_001146055,NM_007308,NM_000345;114198;10;10|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
SND1;NM_014390;440458;12;12|0|0|0|0|0;2;2|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
SNHG1;NR_003098;3901;4;1|0|0|0|3|0;4;0|0|0|0|4|0;3;0|0|0|0|3|0;3;0|0|0|0|3|0
SNHG10;NR_001459,NR_003138;1961;1;0|0|0|0|0|1;0;0|0|0|0|0|0;1;0|0|0|0|1|0;0;0|0|0|0|0|0
SNHG11;NR_003239;4268;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNHG6;NR_002599;3613;2;2|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0;1;1|0|0|0|0|0
SNHG7;NR_003672,NR_024542,NR_024543;3591;2;0|0|0|0|1|1;0;0|0|0|0|0|0;2;0|0|0|0|1|1;1;0|0|0|0|1|0
SNHG8;NR_003584,NR_034011,NR_034010;1062;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|0|1|0;0;0|0|0|0|0|0
SNIP1;NM_024700;17762;1;0|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
SNORA1;NR_003026;130;0;0|0|0|0|0|0;1;0|0|0|0|1|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNORA32;NR_003032;121;0;0|0|0|0|0|0;1;0|0|0|0|1|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNORA8;NR_002920;139;0;0|0|0|0|0|0;1;0|0|0|0|1|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNORD1A;NR_004395;74;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|0|1|0
SNORD1B;NR_004396;86;0;0|0|0|0|0|0;1;0|0|0|0|1|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNORD1C;NR_004397;78;0;0|0|0|0|0|0;1;0|0|0|0|1|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNORD5;NR_003033;73;0;0|0|0|0|0|0;1;0|0|0|0|1|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNORD6;NR_003036;71;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|0|1|0;0;0|0|0|0|0|0
SNORD7;NR_003037;97;0;0|0|0|0|0|0;1;0|0|0|0|1|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNORD89;NR_003070;114;1;0|0|0|0|1|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|0|1|0
SNRK;NM_017719,NM_001100594;64631;5;4|0|0|1|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNRNP200;NM_014014;31224;0;0|0|0|0|0|0;3;0|0|3|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0
SNRNP27;NM_006857;11260;1;0|0|1|0|0|0;1;0|0|1|0|0|0;1;0|0|0|1|0|0;3;0|0|1|2|0|0
SNRNP40;NM_004814;37230;2;2|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
SNRNP48;NM_152551;21769;4;2|0|0|2|0|0;2;0|0|0|2|0|0;0;0|0|0|0|0|0;3;1|0|0|2|0|0
SNRNP70;NM_003089;23406;1;0|0|0|1|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
SNRPA;NM_004596;14539;2;0|1|1|0|0|0;2;0|1|1|0|0|0;2;0|1|1|0|0|0;2;0|1|1|0|0|0
SNRPA1;NM_003090;13746;5;4|0|0|1|0|0;1;0|0|0|1|0|0;4;3|0|0|1|0|0;1;1|0|0|0|0|0
SNRPB;NM_003091,NM_198216;9219;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|1|0|0|0|0
SNRPB2;NM_198220,NM_003092;11809;0;0|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
SNRPC;NR_029472,NM_003093;16764;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|0|0|1
SNRPD1;NM_006938;17949;6;2|1|0|3|0|0;2;0|0|0|2|0|0;2;0|0|0|2|0|0;3;0|0|0|3|0|0
SNRPD3;NM_004175;16892;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNRPE;NM_003094;9541;1;1|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
SNRPF;NM_003095;7530;3;1|0|1|1|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0;3;1|0|1|1|0|0
SNRPG;NM_003096;12364;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNTB1;NM_021021;276325;10;10|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0
SNTB2;NM_006750;121906;7;2|0|0|5|0|0;6;0|0|0|6|0|0;0;0|0|0|0|0|0;5;0|0|0|5|0|0
SNTG2;NM_018968;413838;1;1|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
SNUPN;NM_001042588,NM_005701,NM_001042581;28296;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNW1;NM_012245;43554;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNX1;NM_148955,NM_003099,NM_152826;48257;5;4|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0
SNX10;NM_013322;82435;3;0|0|0|3|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;4;0|0|0|4|0|0
SNX13;NM_015132;149747;4;4|0|0|0|0|0;5;3|0|1|1|0|0;2;0|0|0|2|0|0;1;1|0|0|0|0|0
SNX14;NM_153816,NM_020468;88415;5;5|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNX18;NM_052870,NM_001102575,NM_001145427;28828;1;1|0|0|0|0|0;4;1|0|0|2|0|1;0;0|0|0|0|0|0;1;0|0|0|1|0|0
SNX19;NM_014758;40617;2;1|0|0|1|0|0;4;0|0|1|3|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0
SNX2;NM_003100;55053;4;4|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNX24;NM_014035;163743;5;5|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
SNX25;NM_031953;153837;4;3|0|1|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0
SNX27;NM_030918;86898;7;7|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;2;0|0|1|1|0|0
SNX29;NM_001080530;522092;8;8|0|0|0|0|0;4;4|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNX3;NM_152827,NM_003795;49748;1;1|0|0|0|0|0;1;0|0|0|1|0|0;1;0|0|0|0|0|1;3;0|0|0|2|0|1
SNX30;NM_001012994;124134;0;0|0|0|0|0|0;4;1|0|1|2|0|0;0;0|0|0|0|0|0;3;0|0|1|2|0|0
SNX31;NM_152628;76782;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNX4;NM_003794;73565;3;2|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
SNX5;NM_014426,NM_152227;27247;12;11|0|0|1|0|0;1;1|0|0|0|0|0;4;3|0|0|1|0|0;5;3|0|1|1|0|0
SNX6;NM_152233,NM_021249;68749;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
SNX7;NM_015976,NM_152238,NR_033716;98821;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SNX8;NM_013321;62695;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0
SNX9;NM_016224;121816;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;2;0|0|1|1|0|0
SOAT1;NM_003101;61437;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;3;0|0|0|3|0|0
SOBP;NM_018013;171197;11;11|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SOCS4;NM_080867,NM_199421;22366;15;1|0|0|14|0|0;21;0|0|2|19|0|0;12;0|0|1|11|0|0;14;0|0|1|13|0|0
SOCS5;NM_014011,NM_144949;63829;6;5|0|0|1|0|0;1;1|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0
SOCS6;NM_004232;41298;2;1|0|0|1|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
SOD1;NM_000454;9309;1;0|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0;1;0|0|1|0|0|0
SOD2;NM_000636,NM_001024466,NM_001024465;14205;3;1|0|0|0|0|2;1;0|0|0|0|0|1;0;0|0|0|0|0|0;5;2|0|0|0|0|3
SON;NM_032195,NM_138927;34463;23;14|0|8|1|0|0;37;11|0|22|3|0|1;14;9|0|4|1|0|0;12;5|0|6|1|0|0
SORBS1;NM_001034957,NM_006434,NM_001034954,NM_001034956,NM_001034955,NM_015385,NM_024991;249642;0;0|0|0|0|0|0;1;0|1|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SORBS2;NM_021069,NM_001145675,NM_001145673,NM_001145670,NM_001145671,NM_003603,NM_001145672,NM_001145674;371273;2;1|0|0|0|0|1;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SORT1;NM_002959;88372;0;0|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;4;0|0|0|4|0|0
SOS1;NM_005633;138915;9;7|0|0|2|0|0;1;0|0|0|1|0|0;2;1|0|0|1|0|0;2;0|0|0|2|0|0
SOS2;NM_006939;114254;2;1|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0
SOSTDC1;NM_015464;4369;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SOX13;NM_005686;54626;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SOX4;NM_003107;4878;2;0|1|0|1|0|0;4;0|1|0|3|0|0;4;0|0|0|4|0|0;5;0|0|0|5|0|0
SOX5;NM_006940,NM_152989,NM_178010;1030150;19;19|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SOX6;NM_001145819,NM_001145811,NM_033326,NM_017508;509941;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SOX7;NM_031439;6745;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SP1;NM_138473,NM_003109;36248;7;0|0|0|7|0|0;17;0|0|3|14|0|0;2;0|0|0|2|0|0;9;0|0|0|9|0|0
SP3;NM_003111,NM_001172712,NM_001017371;59244;11;8|0|0|3|0|0;10;5|0|1|4|0|0;3;0|0|0|3|0|0;8;0|0|0|8|0|0
SP4;NM_003112;86463;1;1|0|0|0|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0
SPAG1;NM_003114,NM_172218;83868;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SPAG16;NM_024532,NM_001025436;1126110;3;3|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|0|0|1
SPAG7;NM_004890;8613;1;0|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
SPAG9;NM_003971,NM_001130528;158692;9;7|0|1|1|0|0;9;3|0|1|5|0|0;0;0|0|0|0|0|0;6;0|0|0|6|0|0
SPARC;NM_003118;25509;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
SPAST;NM_199436,NM_014946;94027;2;1|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;4;0|0|0|4|0|0
SPATA16;NM_031955;251912;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SPATA17;NM_138796;235790;5;5|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SPATA18;NM_145263;45866;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0
SPATA21;NM_198546;38782;1;0|1|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SPATA24;NM_194296;7321;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0
SPATA5;NM_145207;396380;9;9|0|0|0|0|0;3;1|0|1|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SPATA5L1;NR_027635,NM_024063;19098;2;2|0|0|0|0|0;1;0|0|0|0|0|1;3;1|0|0|0|0|2;2;0|0|0|0|0|2
SPATA6;NM_019073;176833;2;2|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SPATA7;NM_018418,NM_001040428;52817;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SPATS2;NM_023071;160520;4;4|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0;2;1|0|1|0|0|0
SPATS2L;NM_001100422,NM_001100424,NM_015535,NM_001100423;176383;3;2|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SPC25;NM_020675;19544;2;1|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0
SPCS1;NM_014041;2341;1;0|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
SPCS2;NM_014752;29785;2;1|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SPCS3;NM_021928;12307;5;2|0|0|3|0|0;11;0|0|0|11|0|0;2;0|0|0|2|0|0;12;0|0|0|12|0|0
SPECC1;NM_152904,NM_001033554,NM_001033553,NM_001033555;227733;4;3|0|0|0|0|1;0;0|0|0|0|0|0;1;1|0|0|0|0|0;1;1|0|0|0|0|0
SPECC1L;NM_015330,NM_001145468;146923;5;5|0|0|0|0|0;3;1|0|2|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SPEF2;NM_144722,NM_024867;196725;2;2|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SPEN;NM_015001;92592;11;7|0|2|2|0|0;18;0|0|16|2|0|0;0;0|0|0|0|0|0;5;3|0|1|1|0|0
SPG11;NM_025137,NM_001160227;100983;8;8|0|0|0|0|0;0;0|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0
SPG20;NM_015087,NM_001142296,NM_001142295,NM_001142294;68543;8;8|0|0|0|0|0;6;0|0|0|6|0|0;1;1|0|0|0|0|0;3;1|0|0|2|0|0
SPG7;NM_199367,NM_003119;49370;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0
SPHAR;NM_006542;1122;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|1|0|0|0|0
SPICE1;NM_144718;72470;1;0|0|0|1|0|0;2;0|0|1|1|0|0;1;1|0|0|0|0|0;3;0|0|0|3|0|0
SPIN1;NM_006717;90326;7;2|0|0|5|0|0;12;0|0|0|12|0|0;2;0|0|0|2|0|0;3;0|0|0|3|0|0
SPIN4;NM_001012968;4112;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
SPIRE1;NM_020148,NM_001128626,NM_001128627;211402;4;4|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
SPNS3;NM_182538;54281;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
SPOCK1;NM_004598;524032;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SPOP;NM_003563,NM_001007230,NM_001007229,NM_001007228,NM_001007227,NM_001007226;79280;1;0|0|1|0|0|0;1;1|0|0|0|0|0;2;2|0|0|0|0|0;2;0|0|1|1|0|0
SPOPL;NM_001001664;71458;7;6|0|0|1|0|0;7;2|0|0|5|0|0;1;0|0|0|1|0|0;4;0|0|0|4|0|0
SPPL2A;NM_032802;58174;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;2;0|0|1|1|0|0
SPPL3;NM_139015;141117;4;4|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0
SPRED1;NM_152594;104399;9;8|0|0|1|0|0;2;0|0|0|2|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SPRED2;NM_001128210,NM_181784;121672;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SPRY1;NM_199327,NM_005841;6954;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
SPSB1;NM_025106;76650;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
SPTBN1;NM_003128,NM_178313;215130;6;5|0|1|0|0|0;4;1|0|1|1|0|1;0;0|0|0|0|0|0;3;0|0|0|2|0|1
SPTBN2;NM_006946;36151;0;0|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
